,Unnamed: 0,id,text,time_stamp
541200,541200,2200003196,@chrishasboobs AHHH I HOPE YOUR OK!!! ,Tue Jun 16 18:18:12 PDT 2009
750,750,1467998485,"@misstoriblack cool , i have no tweet apps  for my razr 2",Mon Apr 06 23:11:14 PDT 2009
766711,766711,2300048954,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",Tue Jun 23 13:40:11 PDT 2009
285055,285055,1993474027,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,Mon Jun 01 10:26:07 PDT 2009
705995,705995,2256550904,upper airways problem ,Sat Jun 20 12:56:51 PDT 2009
379611,379611,2052380495,Going to miss Pastor's sermon on Faith... ,Sat Jun 06 00:32:16 PDT 2009
1189018,1189018,1983449090,on lunch....dj should come eat with me ,Sun May 31 13:10:36 PDT 2009
667030,667030,2245479748,@piginthepoke oh why are you feeling like that? ,Fri Jun 19 16:11:29 PDT 2009
93541,93541,1770705699,gahh noo!peyton needs to live!this is horrible ,Mon May 11 22:01:32 PDT 2009
1097326,1097326,1970386589,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,Sat May 30 03:39:34 PDT 2009
1380171,1380171,2052206835,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,Fri Jun 05 23:59:27 PDT 2009
1233933,1233933,1992273171,to sum up my day in one word ......... kackered! ,Mon Jun 01 08:29:05 PDT 2009
1495501,1495501,2069921255,@k9wkj Great minds think alike ,Sun Jun 07 16:46:29 PDT 2009
558391,558391,2204735567,Is Poorly and in bed! ,Wed Jun 17 03:00:02 PDT 2009
820010,820010,1553585468,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",Sat Apr 18 14:39:59 PDT 2009
986772,986772,1834598659,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",Mon May 18 03:32:38 PDT 2009
1586084,1586084,2190762188,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",Tue Jun 16 03:39:22 PDT 2009
209248,209248,1973926253,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,Sat May 30 12:06:09 PDT 2009
320428,320428,2003334341,"ugh, morning's off to a rough start ",Tue Jun 02 06:20:35 PDT 2009
427095,427095,2063670257,just bit my tongue ,Sun Jun 07 03:36:33 PDT 2009
288475,288475,1994589777,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,Mon Jun 01 12:09:16 PDT 2009
1399246,1399246,2054208245,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,Sat Jun 06 06:49:41 PDT 2009
1042030,1042030,1957149371,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",Thu May 28 23:39:25 PDT 2009
1589403,1589403,2191233426,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,Tue Jun 16 04:49:51 PDT 2009
44848,44848,1676986264,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",Fri May 01 23:59:22 PDT 2009
625585,625585,2230296290,i don't feel good ,Thu Jun 18 16:54:56 PDT 2009
1084782,1084782,1969042558,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,Fri May 29 22:52:37 PDT 2009
171708,171708,1963325067,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,Fri May 29 12:33:09 PDT 2009
314466,314466,2001978301,my car is poorly ,Tue Jun 02 02:43:56 PDT 2009
833693,833693,1557804294,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,Sun Apr 19 06:04:37 PDT 2009
977527,977527,1833745318,No woooooork tomorrrow&amp;tuesday ,Mon May 18 00:18:36 PDT 2009
136677,136677,1880147585,Flatmates are still in the bathroom! ARGGH!! ,Fri May 22 00:15:04 PDT 2009
485605,485605,2181196503,I'm having an allergic reaction to silver earings ,Mon Jun 15 11:29:59 PDT 2009
305246,305246,1999945855,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",Mon Jun 01 21:06:49 PDT 2009
586991,586991,2216163585,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",Wed Jun 17 19:07:16 PDT 2009
491246,491246,2183762428,what is with msn making me click the wrong people. garrrrr ,Mon Jun 15 14:57:09 PDT 2009
215315,215315,1975439689,Too full of fizz but not enough cider ,Sat May 30 15:09:38 PDT 2009
1541646,1541646,2180848798,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,Mon Jun 15 11:01:39 PDT 2009
781492,781492,2323431705,Time to sleep... Long day again tomorrow ,Thu Jun 25 00:37:45 PDT 2009
1569655,1569655,2188435142,Hahaha blakk is reckkkin it. :p throwwwwwed. ,Mon Jun 15 21:53:41 PDT 2009
1178920,1178920,1981659749,Cubs game today! My first ever ,Sun May 31 09:37:27 PDT 2009
1462932,1462932,2064079002,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,Sun Jun 07 05:09:02 PDT 2009
915849,915849,1753196199,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,Sun May 10 00:31:36 PDT 2009
1312944,1312944,2013719127,eating cha with eric ,Tue Jun 02 23:23:28 PDT 2009
1308729,1308729,2012896491,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",Tue Jun 02 21:30:06 PDT 2009
606080,606080,2222469531,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,Thu Jun 18 07:01:32 PDT 2009
930710,930710,1770583669,"@Konstantine I said &quot;scar,&quot; sweetie. ",Mon May 11 21:43:17 PDT 2009
139151,139151,1880738950,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,Fri May 22 02:19:37 PDT 2009
964048,964048,1827493751,FCK-Br�ndby 4-0! ,Sun May 17 10:49:45 PDT 2009
617079,617079,2226909167,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,Thu Jun 18 12:32:19 PDT 2009
1367838,1367838,2050490807,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,Fri Jun 05 18:45:48 PDT 2009
1437369,1437369,2061151950,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",Sat Jun 06 20:16:58 PDT 2009
97520,97520,1792998329,@ElleChanel want to shoot...but i'm not in charlotte .. ,Thu May 14 00:59:39 PDT 2009
1583515,1583515,2190444209,@sephrenia1982 good work ,Tue Jun 16 02:44:54 PDT 2009
1072028,1072028,1966468123,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,Fri May 29 17:49:21 PDT 2009
771500,771500,2302410832,@CatholicChicks hate bein on the phone that long ,Tue Jun 23 16:46:11 PDT 2009
1066232,1066232,1965260370,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",Fri May 29 15:36:25 PDT 2009
987237,987237,1834643142,@melbgirl It means the same to us!  #GoCats,Mon May 18 03:42:25 PDT 2009
248768,248768,1982797757,"beach this morning,bbq this afternoon. Back to school/work 2morro ",Sun May 31 11:55:25 PDT 2009
922422,922422,1754424886,@joshlam and you are how old?? REALLY?!? ,Sun May 10 06:13:32 PDT 2009
